,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,April Lodge,Brett,Webb,69,Head,Widowed,Male,Retired Customer service manager,None,Christian
1,2,April Lodge,Matthew,Hill,82,Head,Married,Male,Retired English as a second language teacher,None,Christian
2,2,April Lodge,Cheryl,Hill,80,Wife,Married,Female,Retired IT technical support officer,None,Christian
3,3,April Lodge,Louis,Scott,33,Head,Married,Male,Control and instrumentation engineer,None,None
4,3,April Lodge,Shannon,Scott,29,Wife,Married,Female,"Psychologist, prison and probation services",None,None
5,3,April Lodge,Wayne,Ball,55,Lodger,Single,Male,Theatre stage manager,None,Christian
6,3,April Lodge,Sian,Barnett,38,Lodger,Single,Female,Chartered management accountant,None,Methodist
7,3,April Lodge,Kevin,Williams,28,Lodger,Single,Male,Radiation protection practitioner,None,None
8,4,April Lodge,Scott,Baker,47,Head,Married,Male,"Psychologist, occupational",None,None
9,4,April Lodge,Sylvia,Baker,39,Wife,Married,Female,Hydrogeologist,None,None
10,4,April Lodge,Nicole,Baker,8,Daughter,NA,Female,Student,None,NA
11,4,April Lodge,Ronald,Baker,8,Son,NA,Male,Student,None,NA
12,4,April Lodge,Carole,Baker,6,Daughter,NA,Female,Student,None,NA
13,5,April Lodge,Shaun,Hayes,20,Head,Single,Male,Unemployed,None,Christian
14,5,April Lodge,Victoria,Patel,23,Visitor,Single,Female,Surgeon,None,None
15,5,April Lodge,Ashleigh,Mills,43,Lodger,Single,Female,Psychiatric nurse,None,Catholic
16,5,April Lodge,Maurice,Davies,55,Lodger,Single,Male,Emergency planning/management officer,None,None
17,6,April Lodge,Abbie,Lewis,33,Head,Single,Female,Aid worker,None,Catholic
18,6,April Lodge,Megan,Walker,63,None,Single,Female,Clinical research associate,None,Christian
19,6,April Lodge,Angela,Bibi,57,None,Single,Female,Further education lecturer,None,None
20,7,April Lodge,Gerald,Robertson,19,Head,Single,Male,University Student,None,Christian
21,7,April Lodge,Marian,Hope,32,None,Single,Female,PhD Student,None,Catholic
22,7,April Lodge,Danielle,Bishop,20,None,Single,Female,University Student,Mental Disability,None
23,7,April Lodge,Russell,Evans,22,None,Single,Male,University Student,None,None
24,7,April Lodge,Samuel,O'Donnell,20,None,Single,Male,University Student,None,Christian
25,8,April Lodge,Caroline,Harrison,43,Head,Single,Female,"Psychologist, sport and exercise",None,Christian
26,9,April Lodge,Paula,Parsons,41,Head,Single,Female,Leisure centre manager,None,None
27,9,April Lodge,Reece,Bennett,44,Partner,Single,Male,Diagnostic radiographer,None,None
28,9,April Lodge,Lindsey,Parsons,14,Daughter,NA,Female,Student,None,NA
29,10,April Lodge,Victoria,Hopkins,58,Head,Married,Female,"Buyer, retail",None,None
30,10,April Lodge,Trevor,Hopkins,58,Husband,Married,Male,Clinical embryologist,None,None
31,10,April Lodge,Dawn,Hopkins,24,Daughter,Single,Female,Unemployed,None,None
32,10,April Lodge,Jodie,Hopkins,23,Daughter,Single,Female,Patent examiner,None,None
33,10,April Lodge,Dale,Hopkins,19,Son,Single,Male,University Student,None,None
34,11,April Lodge,Elliot,Rogers,51,Head,Single,Male,Futures trader,None,Catholic
35,11,April Lodge,Sarah,Jones,48,Partner,Single,Female,Actor,None,None
36,12,April Lodge,Rebecca,Jones,55,Head,Married,Female,Hydrographic surveyor,None,Christian
37,12,April Lodge,Shane,Jones,57,Husband,Married,Male,Unemployed,None,Christian
38,12,April Lodge,Aaron,Jones,30,Son,Divorced,Male,Architectural technologist,None,Christian
39,12,April Lodge,Marian,Jones,27,Daughter,Single,Female,Television/film/video producer,None,Christian
40,12,April Lodge,Debra,Jones,5,Daughter,NA,Female,Student,None,NA
41,13,April Lodge,Jessica,Day,74,Head,Married,Female,Retired Associate Professor,None,Catholic
42,13,April Lodge,Abdul,Day,73,Husband,Married,Male,Retired Animator,None,None
43,13,April Lodge,Lawrence,Day,43,Son,Single,Male,Unemployed,None,Catholic
44,13,April Lodge,Lawrence,Day,41,Son,Divorced,Male,Geochemist,None,None
45,14,April Lodge,Charlene,Holmes,71,Head,Married,Female,Retired Occupational psychologist,None,Christian
46,14,April Lodge,Allan,Holmes,75,Husband,Married,Male,Retired Physiological scientist,None,None
47,14,April Lodge,Danny,Holmes,15,Grandson,NA,Male,Student,None,NA
48,15,April Lodge,Andrea,Blackburn,51,Head,Single,Female,Publishing copy,None,Christian
49,15,April Lodge,Dominic,Whitehead,29,None,Single,Male,Fashion designer,None,None
50,1,Brown Cove,Shannon,Dawson,42,Head,Married,Female,Systems analyst,None,None
51,1,Brown Cove,Dean,Dawson,46,Husband,Married,Male,Medical physicist,None,None
52,1,Brown Cove,Lydia,Dawson,2,Daughter,NA,Female,Child,None,NA
53,2,Brown Cove,Glenn,Hussain,49,Head,Married,Male,Unemployed,None,None
54,2,Brown Cove,Frances,Hussain,51,Wife,Married,Female,Government social research officer,Mental Disability,None
55,2,Brown Cove,Jennifer,Hussain,17,Daughter,NA,Female,Student,None,NA
56,3,Brown Cove,Jenna,Jones,62,Head,Married,Female,Clinical psychologist,None,None
57,3,Brown Cove,Iain,Jones,61,Husband,Married,Male,"Engineer, civil (consulting)",None,None
58,3,Brown Cove,Kelly,Davis-Jones,29,Daughter,Single,Female,"Engineer, civil (contracting)",None,None
59,3,Brown Cove,Jasmine,Davis-Jones,28,Daughter,Single,Female,Statistician,None,None
60,4,Brown Cove,Brenda,Davies,31,Head,Married,Female,"Journalist, newspaper",None,Sikh
61,4,Brown Cove,Gerald,Davies-Carter,33,Husband,Married,Male,Lexicographer,None,None
62,4,Brown Cove,Jean,Davies-Carter,14,Daughter,NA,Female,Student,None,NA
63,5,Brown Cove,Wendy,Storey,78,Head,Married,Female,Retired Music therapist,None,None
64,5,Brown Cove,Howard,Storey,80,Husband,Married,Male,Retired Cartographer,None,None
65,5,Brown Cove,Graham,Smith,28,Grandson,Divorced,Male,Medical secretary,None,None
66,5,Brown Cove,Connor,Smith,25,Grandson,Single,M,Museum/gallery exhibitions officer,None,None
67,6,Brown Cove,Jacob,Jones,68,Head,Married,Male,Retired Retail manager,None,Catholic
68,6,Brown Cove,Megan,Jones,66,Wife,Married,Female,Environmental education officer,None,Catholic
69,6,Brown Cove,Gregory,Jones,30,Son,Widowed,Male,Horticultural consultant,None,Catholic
70,6,Brown Cove,Jenna,Jones,27,Daughter,Divorced,Female,"Surveyor, planning and development",None,Catholic
71,6,Brown Cove,Kimberley,Jones,24,Daughter,Single,Female,"Engineer, drilling",None,None
72,6,Brown Cove,Josephine,Jones,22,Daughter,Single,Female,University Student,None,Catholic
73,6,Brown Cove,Brian,Jones,18,Son,Single,Male,Student,None,Catholic
74,7,Brown Cove,Grace,Connolly,62,Head,Married,Female,Environmental health practitioner,None,Christian
75,7,Brown Cove,Elliot,Connolly,68,Husband,Married,Male,Retired Sales executive,None,None
76,7,Brown Cove,Megan,Connolly,24,Daughter,Single,Female,Soil scientist,None,Christian
77,7,Brown Cove,Glen,Cole-Connolly,7,Son,NA,Male,Student,None,NA
78,8,Brown Cove,Jordan,Smith,40,Head,Single,Male,"Designer, industrial/product",None,Christian
